entrez	length
100134869	60475
10357	1189
155060	12031
26823	152
280660	4629
340602	1895
388795	107941
390284	662
391343	3267
391714	1594
404770	6447
441362	1135
442388	15992
553137	4876
653553	377
728045	517
728788	18049
8225	15467
90288	27315
1	8309
29974	86266
54715	2473591
87769	58628
144568	64648
2	48521
53947	29189
51146	9597
404744	487819
8086	14154
729522	53574
65985	77892
344752	27412
126767	12650
343066	22539
13	14480
51166	31477
79719	54531
22848	185742
14	6054
15	17446
57505	15508
80755	13928
16	37214
60496	21090
132949	51731
10157	70725
26574	107917
9625	48926
18	109958
10349	96841
79963	48774
26154	207084
154664	476073
650655	85777
19	147226
20	21688
21	64847
24	128314
23461	82822
23460	79883
10347	25465
10351	88130
10350	104490
23456	42406
8647	115928
5243	210306
5244	77734
340273	141341
10058	9186
22	105235
11194	19360
23457	57836
89845	24456
85320	85131
94160	63797
150000	27587
4363	193446
1244	71139
8714	57372
10257	281616
10057	98076
653190	27041
730013	2275
368	74052
6833	84351
10060	144474
215	19904
225	120368
5825	100577
5826	17793
6059	31213
23	20080
10061	15721
55324	7937
9619	104698
9429	141362
64137	13614
64240	32686
64241	51046
55347	14342
83451	2773
145447	32917
26090	96092
84945	17048
25864	6132
84836	6120
116236	6490
84696	7334
11057	113933
171586	53896
63874	14626
51099	43501
57406	57234
79575	11294
10006	114491
10152	107156
25890	244352
51225	12998
25	173794
27	130363
3983	390533
84448	193501
22885	119095
28	24800
26	36629
137735	49590
29	226203
29777	3786
80325	7998
25841	207023
30	14532
10449	31369
31	321844
32	155560
80724	71046
84129	101993
27034	12320
28976	33624
33	37524
34	39332
36	49311
35	14182
37	8142
176	71918
9744	18438
23527	168434
116983	15546
38	32117
39	17067
64746	42062
79777	11581
91452	60704
84320	232914
414149	13301
40	1143719
41	26026
9311	4464
55515	24602
51802	37604
390110	11996
84680	18119
65057	3320
59272	107638
125981	54226
340485	46246
55331	165909
1636	21312
43	7000
22985	37050
47	63626
130013	64587
57001	64065
48	70166
50	60223
26027	90964
134526	85129
55856	38034
641371	50778
10965	8038
122970	4060
641372	8943
11332	129494
10005	15684
23597	42221
51	37692
8309	32060
8310	74460
55289	388071
52	13414
53	9545
54	4323
51205	44342
92370	63099
55	51362
93650	4804
84519	9357
93953	35559
56	9325
49	7135
23205	67157
81616	57470
80221	48687
